"dbid"	"Name"	"Latitude"	"Longitude"	"Region"	"Image"	"Url"	"Description"	"PlantList"	"Address"
0	"Abilene State Park"	32.240731	-99.879139	"EDWARDS PLATEAU
"	" https//tpwd.texas.gov/state-parks/abilene/gallery/Abilene_Pool1.jpg"	"https//tpwd.texas.gov/state-parks/abilene"	" Come to the shady banks of Elm Creek, where large trees arch overhead and deer and other critters wander by. Just 16 miles southwest of Abilene, the park has a lake and fishing pond, a historic swimming pool, trails, camping and more."	"[10, 56, 99, 262, 376, 479, 484, 521, 702, 709]"	"N/A"
1	"Atlanta State Park"	33.230731	-94.249693	"PINEYWOODS
"	" https//tpwd.texas.gov/state-parks/atlanta/gallery/Atlanta-bluff.jpg"	"https//tpwd.texas.gov/state-parks/atlanta"	" Fishing, camping, birding await in scenic northeast Texas."	"[492]"	"N/A"
2	"Balmorhea State Park"	30.945036	-103.786663	"TRANS-PECOS
"	" https//tpwd.texas.gov/state-parks/balmorhea/gallery/balmorhea-diver.jpg"	"https//tpwd.texas.gov/state-parks/balmorhea"	" Dive into the crystal-clear water of the world��s largest spring-fed swimming pool. Swim, scuba dive, or just relax under the trees at this historic park in arid West Texas."	"[]"	"N/A"
3	"Bastrop State Park"	30.110149	-97.286864	"POST OAK SAVANNAH
"	" https//tpwd.texas.gov/state-parks/bastrop/gallery/bastrop-cabin.jpg"	"https//tpwd.texas.gov/state-parks/bastrop"	" For more than 70 years, folks have visited Bastrop State Park to enjoy its history and marvel at the Lost Pines. Forest fires and floods have ravaged the park in recent years. Now comes rebirth new trees, new plants and new life. Come see the park��s recovery from nature��s fury. We��re just 32 miles east of Austin."	"[130, 209, 233, 245, 269, 279, 326, 401, 427, 452, 455, 456, 475, 535, 646, 657, 712]"	"N/A"
4	"Bentsen-Rio Grande Valley State Park"	26.186987	-98.381888	"N/A"	" https//tpwd.texas.gov/state-parks/bentsen-rio-grande-valley/gallery/bentsen-2014_6755.jpg"	"https//tpwd.texas.gov/state-parks/bentsen-rio-grande-valley"	" As part of the World Birding Center, Bentsen-Rio Grande Valley State Park is a world-class destination for bird-watching. The Rio Grande Valley hosts one of the most spectacular convergences of birds on earth with more than 525 species documented in this unique place. Bentsen-Rio Grande Valley State Park alone has an impressive list of 358 species recorded within the park��s boundaries. Birders have a chance to see migratory birds during their yearly migrations over the valley including flocks of thousands of hawks from the park��s Hawk Tower in the spring and fall. Some birders travel to the Bentsen to see bird species they can��t find anyplace else in the country--from the Green Jay and the Buff-bellied Hummingbird to the Great Kiskadee and the Altamira Oriole."	"[311, 312, 619]"	"N/A"
5	"Big Bend Ranch State Park"	29.470458	-103.957922	"TRANS-PECOS
"	" https//tpwd.texas.gov/state-parks/big-bend-ranch/gallery/BBRSP-Biking.jpg"	"https//tpwd.texas.gov/state-parks/big-bend-ranch"	" Big Bend Ranch State Park offers outdoor recreation for the truly adventurous. This remote park features rugged mountains, steep canyons, amazing views, unparalleled night skies, and solitude in a high desert setting. The park stretches along the Rio Grande in far west Texas, on the U.S.-Mexico border."	"[]"	"N/A"
6	"Big Spring State Park"	32.232288	-101.490728	"ROLLING PLAINS
"	" https//tpwd.texas.gov/state-parks/big-spring/gallery/bigspring914_18.jpg"	"https//tpwd.texas.gov/state-parks/big-spring"	" Dramatic views off of the 200-foot bluff and from the CCC-built loop road are among the featured attractions of this 382-acre park. Early morning or sunset, joggers, walkers and cyclists circle the loop, enjoying these views as they exercise. An elaborate Fourth of July fireworks display is one of the largest in the region. Other activities include picnicking, nature study and sightseeing."	"[]"	"N/A"
7	"Blanco State Park"	30.093082	-98.423845	"EDWARDS PLATEAU
"	" https//tpwd.texas.gov/state-parks/blanco/gallery/blanco-sp_065.jpg"	"https//tpwd.texas.gov/state-parks/blanco"	" Come for a picnic, afternoon swim, fishing trip or a weekend campout on the banks of the spring-fed Blanco River. We��re just an hour from Austin and San Antonio."	"[32, 33, 62, 163, 164, 247, 309, 310, 323, 398, 461, 468]"	"N/A"
8	"Bonham State Park"	33.546727	-96.144758	"BLACKLAND PRAIRIES
"	" https//tpwd.texas.gov/state-parks/bonham/gallery/bonham-sp_4419.jpg"	"https//tpwd.texas.gov/state-parks/bonham"	" Activities include (unsupervised) swimming and fishing in the man-made lake, built in 1935, as well as camping, picnicking, hiking, mountain biking and��boating (5 mph speed limit). Check out the interactive trails map��for more hiking information.��"	"[86, 609]"	"N/A"
9	"Brazos Bend State Park"	29.371	-95.631921	"GULF PRAIRIES AND MARSHES
"	" https//tpwd.texas.gov/state-parks/brazos-bend/gallery/brazos-bend_8275.jpg"	"https//tpwd.texas.gov/state-parks/brazos-bend"	" Looking for a ���wild�� experience? You will find it at Brazos Bend State Park, just 45 miles from downtown Houston!"	"[170, 197, 216, 218, 275, 616]"	"N/A"
